"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AOL","AOL Inc.","40.84","3198949049.64","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/aol",
"ATNY","API Technologies Corp.","2.06","114118611.04","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"AAPL","Apple Inc.","129.67","755295073160","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"AMAT","Applied Materials, Inc.","22.17","27240206326.74","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","5.1","403614668.1","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
"AAOI","Applied Optoelectronics, Inc.","15","223653600","n/a","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"ARIS","ARI Network Services, Inc.","3.27","46920625.05","n/a","1991","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aris",
"ANET","Arista Networks, Inc.","66.15","4382076982.5","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/anet",
"ARMH","ARM Holdings plc","53.95","6897918706.9","127857622","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh",
"ARRS","ARRIS Group, Inc.","37.3","5414523577","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/arrs",
"ARUN","Aruba Networks, Inc.","24.635","2672014975.76","n/a","2007","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/arun",
"ASTI","Ascent Solar Technologies, Inc.","1.14","28696522.32","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti",
"ASMI","ASM International N.V.","48.21","118750968.42","2463202","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asmi",
"ASML","ASML Holding N.V.","108.69","8963456810.79","82468091","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZPN","Aspen Technology, Inc.","41.43","3655068656.79","n/a","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/azpn",
"ALOT","Astro-Med, Inc.","14.02","101871198.68","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot",
"ASUR","Asure Software Inc","5.4","32720198.4","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"ATML","Atmel Corporation","8.16","3405802488.96","n/a","1991","Technology","Semiconductors","http://www.nasdaq.com/symbol/atml",
"ATTU","Attunity Ltd.","10.38","159599932.08","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"AUO","AU Optronics Corp","5.06","4869868025.66","n/a","2002","Technology","Semiconductors","http://www.nasdaq.com/symbol/auo",
"ADNC","Audience, Inc.","5.46","127710934.26","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/adnc",
"ADAT","Authentidate Holding Corp.","0.24","10071388.32","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adat",
"ABTL","Autobytel Inc.","15.37","136491394.49","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl",
"ADSK","Autodesk, Inc.","62.75","14257070829","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk",
"ATHM","Autohome Inc.","52.39","5794447319.57","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/athm",
"ADP","Automatic Data Processing, Inc.","85.765","40751420885.68","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp",
"AVGO","Avago Technologies Limited","124.07","31834776757.61","n/a","2009","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
"AVG","AVG Technologies N.V.","21.42","1106676487.98","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/avg",
"AVNW","Aviat Networks, Inc.","1.19","74170635.35","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/avnw",
"AVOL","Avolon Holdings Limited","22.17","1810870674.27","n/a","2014","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/avol",
"AWRE","Aware, Inc.","4.4","100608486","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/awre",
"ACLS","Axcelis Technologies, Inc.","2.65","300729957.95","n/a","2000","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acls",
"AXTI","AXT Inc","2.47","80714813.14","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/axti",
"BOSC","B.O.S. Better Online Solutions","2.34","3132061.92","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BIDU","Baidu, Inc.","212.28","58814846605.2","277062590","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"CUDA","Barracuda Networks, Inc.","45.88","2409077179.48","n/a","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/cuda",
"BBSI","Barrett Business Services, Inc.","41.8","298359663.8","n/a","1993","Technology","Professional Services","http://www.nasdaq.com/symbol/bbsi",
"BV","Bazaarvoice, Inc.","5.79","460224785.34","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bv",
"BHE","Benchmark Electronics, Inc.","24.46","1285196814.62","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/bhe",
"BNFT","Benefitfocus, Inc.","36.89","1049884235.4","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bnft",
"BGSF","BG Staffing Inc","12","79177740","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BITA","Bitauto Holdings Limited","58.77","2485138875.57","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/bita",
"BBOX","Black Box Corporation","19.8","304191360","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bbox",
"BLKB","Blackbaud, Inc.","50.47","2337270343.24","n/a","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blkb",
"BDR","Blonder Tongue Laboratories, Inc.","0.77","4822306.72","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"BCOR","Blucora, Inc.","13.9","570512267.2","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/bcor",
"EPAY","Bottomline Technologies, Inc.","27.75","1106395136.25","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/epay",
"BOX","Box, Inc.","18.28","2189737600.52","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/box",
"BLIN          ","Bridgeline Digital, Inc.","0.4","8882760.4","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blin          ",
"BCOV","Brightcove Inc.","6.84","222486472.08","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/bcov",
"BRCM","Broadcom Corporation","45.44","27173120000","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/brcm",
"BSFT","BroadSoft, Inc.","34.72","1006074634.88","n/a","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bsft",
"BVSN","BroadVision, Inc.","5.7","27543699.6","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bvsn",
"BRCD","Brocade Communications Systems, Inc.","11.98","5052286584.8","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/brcd",
"BRKS","Brooks Automation, Inc.","11.12","748532313.84","n/a","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/brks",
"CA","CA Inc.","32.075","14202978489.975","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"CCMP","Cabot Microelectronics Corporation","50.14","1207084950.74","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"CACI","CACI International, Inc.","89.91","2172476718.63","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CDNS","Cadence Design Systems, Inc.","19.22","5623327979.56","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CAP","Cai International, Inc.","24.85","516588683.45","n/a","2007","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cap",
"CAMP","CalAmp Corp.","21.75","787902102","n/a","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"CALD","Callidus Software, Inc.","13.42","658590364.96","n/a","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"CSIQ","Canadian Solar Inc.","36.49","1978839673.07","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CARB","Carbonite, Inc.","11.19","304922789.01","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"CSLT","Castlight Health, inc.","7.92","737303806.8","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/cslt",
"CAVM","Cavium, Inc.","70.14","3858474485.88","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
"CBDE","CBD Energy Limited","0.9","4179405.6","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/cbde",
"CDI","CDI Corporation","14.07","276414703.53","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/cdi",
"CLS","Celestica, Inc.","12.17","1835737075.41","n/a","1998","Technology","Electrical Products","http://www.nasdaq.com/symbol/cls",
"CRNT","Ceragon Networks Ltd.","1.4","108020462.2","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/crnt",
"CERN","Cerner Corporation","73.05","25124206740.3","n/a","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/cern",
"CEVA","CEVA, Inc.","21.9","450342402","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ceva",
"CYOU","Changyou.com Limited","28.78","352367009.04","12243468","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"ECOM          ","ChannelAdvisor Corporation","11.06","275846232.34","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ecom          ",
"CHKP","Check Point Software Technologies Ltd.","87.12","16621598489.76","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chkp",
"CMCM","Cheetah Mobile Inc.","23.98","3397013298.58","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmcm",
"CVR","Chicago Rivet & Machine Co.","30.6","29563639.2","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"STV","China Digital TV Holding Co., Ltd.","4.34","258387407.46","n/a","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/stv",
"CNIT","China Information Technology, Inc.","4.66","150256457.5","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CMGE","China Mobile Games and Entertainment Group Limited","21.8","331309271.4","15197673","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmge",
"CSUN","China Sunergy Co., Ltd.","2.05","23553046.55","11489291","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/csun",
"CCIH","ChinaCache International Holdings Ltd.","14.99","248686393.47","16590153","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.6","46768208","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES (Bermuda) LTD.","24.06","711815100","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CBR","Ciber, Inc.","3.92","308314413.12","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/cbr",
"CRUS","Cirrus Logic, Inc.","34.36","2155535704.48","n/a","1989","Technology","Semiconductors","http://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","28.675","146378381390.925","n/a","1990","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/csco",
"CTXS","Citrix Systems, Inc.","67.34","10780569960.16","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ctxs",
"CLNT","Cleantech Solutions International, Inc.","3.48","13711151.28","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CKSW","ClickSoftware Technologies Ltd.","9.45","313138053.9","n/a","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cksw",
"CCOI","Cogent Communications Holdings, Inc.","34.11","1582415224.74","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ccoi",
"CTSH","Cognizant Technology Solutions Corporation","61.2","37308534390","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"CLRX","CollabRx, Inc.","0.9493","9786447.616","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/clrx",
"COMM","CommScope Holding Company, Inc.","29.3","5540877965.9","n/a","2013","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/comm",
"CVLT","CommVault Systems, Inc.","47.27","2122280764.57","n/a","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvlt",
"CPSI","Computer Programs and Systems, Inc.","53.79","608664671.67","n/a","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/cpsi",
"CSC","Computer Sciences Corporation","65.65","9259707123.55","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/csc",
"CTG","Computer Task Group, Incorporated","7.72","142730625.56","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ctg",
"CMTL","Comtech Telecommunications Corp.","31.06","504868279.78","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cmtl",
"CCUR","Concurrent Computer Corporation","5.99","56605266.39","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ccur",
"CNXR","Connecture, Inc.","12.14","263410563.6","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnxr",
"CTCT","Constant Contact, Inc.","39.31","1263104045.56","n/a","2007","Technology","Advertising","http://www.nasdaq.com/symbol/ctct",
"CVG","Convergys Corporation","23.12","2297039926.56","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/cvg",
"CLGX","CoreLogic, Inc.","39.22","3521582547.16","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/clgx",
"CSOD","Cornerstone OnDemand, Inc.","29.72","1601388583.56","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/csod",
"CPAH","CounterPath Corporation","0.4799","20361384.8409","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cpah",
"COVR","Cover-All Technologies Inc.","1.01","27231610.91","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/covr",
"COVS","Covisint Corporation","2","78024300","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/covs",
"CRAY","Cray Inc","29.96","1223166463.96","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/cray",
"CREE","Cree, Inc.","32.23","3597838090.77","n/a","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/cree",
"CRTO","Criteo S.A.","43.22","1989250159.78","46026149","2013","Technology","Advertising","http://www.nasdaq.com/symbol/crto",
"CCRN","Cross Country Healthcare, Inc.","11.53","369167736.01","n/a","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CRDS","Crossroads Systems, Inc.","2.56","49089681.92","n/a","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/crds",
"CSGS","CSG Systems International, Inc.","29.87","978181654.81","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"CSPI","CSP Inc.","6.98","25516423.04","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CSRE","CSR plc","52.63","25751385.33","489291","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/csre",
"CTP","CTPartners Executive Search Inc.","4.02","35071911.12","n/a","2010","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ctp",
"CTS","CTS Corporation","17.74","593283893.64","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/cts",
"CW","Curtiss-Wright Corporation","75.8","3615233928.2","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cw",
"CVV","CVD Equipment Corporation","12.33","76069651.41","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvv",
"CVT","CVENT, INC.","27.88","1158131380.44","n/a","1987","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvt",
"CYNI","Cyan, Inc.","4.15","200428873.1","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/cyni",
"CYBR","CyberArk Software Ltd.","66.62","2033367445.74","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cybr",
"CY","Cypress Semiconductor Corporation","13.26","4385814813.9","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","3.23","85882544.29","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyrn",
"DAEG","Daegis Inc","0.78","12779866.32","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/daeg",
"DQ","DAQO New Energy Corp.","28.86","258098270.04","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq",
"DTLK","Datalink Corporation","11.92","277961335.68","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dtlk",
"DRAM","Dataram Corporation","2.2802","6215852.5624","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/dram",
"DWCH","Datawatch Corporation","8.1","91940597.1","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dwch",
"TRAK","Dealertrack Technologies, Inc.","39.54","2149494317.58","n/a","2005","Technology","EDP Services","http://www.nasdaq.com/symbol/trak",
"DMD","Demand Media Inc.","6.68","132280499.6","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/dmd",
"DWRE","DEMANDWARE, INC.","64.73","2366831024.37","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/dwre",
"DGII","Digi International Inc.","9.64","234808681.08","n/a","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","24.16","205548448","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DGLY","Digital Ally, Inc.","13.49","50866635.08","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"DIOD","Diodes Incorporated","28","1342982956","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/diod",
"DLHC","DLH Holdings Corp.","2","19262086","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/dlhc",
"DSS","Document Security Systems, Inc.","0.27","12493549.08","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dss",
"DLB","Dolby Laboratories","41.26","4232973687.98","n/a","2005","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dlb",
"HILL","Dot Hill Systems Corporation","6.5","395296928","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/hill",
"DOV","Dover Corporation","74.38","11929251316.94","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov",
"DSPG","DSP Group, Inc.","11.88","264836919.6","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/dspg",
"DST","DST Systems, Inc.","117.01","4347440673.37","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/dst",
"ELNK","EarthLink Holdings Corp.","4.81","495307090.07","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/elnk",
"ETN","Eaton Corporation, PLC","69.1","32305327545.4","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"EBIX","Ebix, Inc.","29.98","1057173677.38","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","0.92","40582862.44","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"SATS","EchoStar Corporation","51.36","2271294409.92","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EDGW","Edgewater Technology, Inc.","7","80270442","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EFUT","eFuture Information Technology Inc.","4.72","18831034.72","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"EGAN","eGain Corporation","3.31","88329597.49","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"ELRC","Electro Rent Corporation","11.17","269257273.32","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/elrc",
